player_id,name,normalized_name,team,role_classic,roles_mantra,quotation_classic,quotation_mantra,fvm_classic,fvm_mantra,starts,minutes,starter_signal,set_piece_signal,injury_signal,updated_at,appearances,average_rating,fantasy_average,goals,assists,penalties_scored,penalties_taken,previous_appearances,previous_average_rating,previous_fantasy_average,previous_goals,previous_assists
fc-6844,Rowe,rowe,ATA,C,W|T,10,10,40,42,0,0,,,,2026-09-05T10:50:36.537627+00:00,1,5.5,5.5,0,0,0,0,28.0,6.09,6.48,3.0,3.0
fc-4360,Caprile,caprile,CAG,P,POR,10,10,25,25,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,6.0,0,0,0,0,38.0,6.29,4.87,0.0,0.0
fc-6869,Ramon,ramon,COM,D,DC,10,10,31,31,0,0,,,,2026-09-05T10:50:36.537627+00:00,3,6.0,6.0,0,0,0,0,32.0,6.16,6.14,2.0,0.0
fc-6151,Perrone,perrone,COM,C,M|C,10,11,34,39,0,0,,,,2026-09-05T10:50:36.537627+00:00,3,6.0,6.0,0,0,0,0,36.0,6.31,6.56,3.0,4.0
fc-2848,Frattesi,frattesi,LAZ,C,C|T,10,10,75,75,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,7.25,10.25,2,0,0,0,15.0,5.9,5.9,0.0,0.0
fc-6482,Mandas,mandas,LAZ,P,POR,10,10,36,36,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,6.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-5672,Dia,dia,LAZ,A,A,10,11,20,20,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.0,6.25,0,1,0,0,25.0,5.66,5.84,1.0,2.0
fc-4220,Zambo Anguissa,zambo anguissa,NAP,C,C,10,10,41,41,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.25,5.25,0,0,0,0,18.0,6.14,6.83,4.0,1.0
fc-7223,Vergara,vergara,NAP,C,W|T,10,10,35,35,0,0,,,,2026-09-05T10:50:36.537627+00:00,1,7.5,11.5,1,1,0,0,9.0,6.11,6.33,1.0,0.0
fc-2531,Lukaku,lukaku,NAP,A,PC,10,9,45,41,0,0,,,,2026-09-05T10:50:36.537627+00:00,0,0.0,0.0,0,0,0,0,2.0,6.25,7.5,1.0,0.0
fc-5589,Konè M.,kone m,ROM,C,M|C,10,11,42,45,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,6.25,0,0,0,0,29.0,6.19,6.47,2.0,3.0
fc-5844,Thorstvedt,thorstvedt,SAS,C,C|T,10,10,39,39,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.25,6.25,0,0,0,0,31.0,6.27,6.61,4.0,3.0
fc-6646,Adams C.,adams c,TOR,A,A,10,11,33,33,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,8.0,1,0,0,0,32.0,6.06,6.72,6.0,3.0
fc-6229,Tourè E.,toure e,PAR,A,PC,10,10,37,34,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.5,5.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-5641,Chalobah T.,chalobah t,COM,D,DD|DC,10,11,32,34,0,0,,,,2026-09-05T10:50:36.537627+00:00,3,6.33,6.33,0,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-7554,Romero D.,romero d,PAR,A,PC,10,10,37,34,0,0,,,,2026-09-05T10:50:36.537627+00:00,1,6.5,6.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-5885,Dodò,dodo,FIO,D,DD|E,9,9,20,20,0,0,,,,2026-09-05T10:50:36.537627+00:00,1,5.0,5.0,0,0,0,0,36.0,6.07,6.11,1.0,2.0
fc-5436,Raimondo,raimondo,FRO,A,PC,9,8,27,24,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.75,9.5,2,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-5514,Vasquez,vasquez,GEN,D,DS|DC,9,10,30,33,0,0,,,,2026-09-05T10:50:36.537627+00:00,3,5.33,5.33,0,0,0,0,36.0,6.11,6.17,1.0,0.0
fc-6274,Diouf,diouf,INT,C,E|C,9,10,43,45,0,0,,,,2026-09-05T10:50:36.537627+00:00,1,7.0,9.0,0,2,0,0,11.0,6.14,6.41,1.0,0.0
